id	code	name	email	library	printout_queue
0	856967120005502	uge_aacap	Imprimante Acacias	biblio-arve-math@unige.ch	Uni Arve – Conseil Général, Bibliothèque Georges de Rham	VRAI
1	856967400005502	uge_bcenp	Imprimante Bastions Jura		Uni Bastions – Jura	VRAI
2	856967330005502	uge_abbatp	Imprimante Battelle		Uni Bastions & Arve – Battelle	VRAI
3	856967050005502	uge_abelsp	Imprimante BELS	biblio-arve@unige.ch	Uni Arve – Sciences II, BELS	VRAI
4	856967260005502	uge_acarp	Imprimante Carl-Vogt		Uni Arve – Carl-Vogt	VRAI
5	856967540005502	uge_cmup	Imprimante CMU		Uni CMU (Centre Médical Universitaire)	VRAI
6	856967680005502	uge_dbup	Imprimante DBU		Uni DBU (Dépôt de la Bibliothèque de l'Université)	VRAI
7	856769630005502	mainprnt@u	Imprimante email	ebooks@unige.ch	CODIS – ressources électroniques	FAUX
8	856967750005502	uge_fharp	Imprimante Hardt	biblio@fondationhardt.ch	Fondation Hardt	VRAI
9	856967610005502	uge_mailp	Imprimante Mail		Uni Mail	VRAI
10	856967190005502	uge_obsp	Imprimante Observatoire	biblio-arve-obs@unige.ch	Uni Arve – Observatoire	VRAI
11	856967470005502	uge_bphip	Imprimante Philosophes		Uni Bastions – Philosophes	VRAI
12	1248009300005502	RS_Printer	RS_Printer		Resource Sharing Library	VRAI
